iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_eve,episode_reward_mean_bob,episode_reward_mean_alice
3,0.005,10,0.99,100,1.0,-127.69889831542969,-20.17196273803711,-20.17196273803711
4,0.005,10,0.99,100,1.0,-123.89456939697266,-40.48369216918945,-40.48369216918945
5,0.005,10,0.99,100,1.0,-89.04328918457031,-41.77312088012695,-41.77312088012695
6,0.005,10,0.99,100,1.0,-166.261962890625,-28.889694213867188,-28.889694213867188
7,0.005,10,0.99,100,1.0,-184.702392578125,-10.236794471740723,-10.236794471740723
8,0.005,10,0.99,100,1.0,-199.81507873535156,-31.922924041748047,-31.922924041748047
9,0.005,10,0.99,100,1.0,-157.13919067382812,-48.29193878173828,-48.29193878173828
0,0.0003,10,0.9,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.9,100,1.0,-172.00668334960938,2.070415496826172,2.070415496826172
2,0.0003,10,0.9,100,1.0,-138.58518981933594,-13.9672269821167,-13.9672269821167
3,0.0003,10,0.9,100,1.0,-148.32229614257812,-23.600751876831055,-23.600751876831055
4,0.0003,10,0.9,100,1.0,-164.7658233642578,-44.72887420654297,-44.72887420654297
5,0.0003,10,0.9,100,1.0,-130.91714477539062,-109.9626235961914,-109.9626235961914
6,0.0003,10,0.9,100,1.0,-195.70925903320312,39.27515411376953,39.27515411376953
7,0.0003,10,0.9,100,1.0,-195.45750427246094,55.87214279174805,55.87214279174805
8,0.0003,10,0.9,100,1.0,-231.53662109375,17.27267837524414,17.27267837524414
