iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_agents
0,0.0003,10,0.99,100,0.2,-203.77476501464844
1,0.0003,10,0.99,100,0.2,-402.34393310546875
2,0.0003,10,0.99,100,0.2,-472.8871154785156
3,0.0003,10,0.99,100,0.2,-421.705810546875
4,0.0003,10,0.99,100,0.2,-523.690185546875
5,0.0003,10,0.99,100,0.2,-569.4901123046875
6,0.0003,10,0.99,100,0.2,-580.4454345703125
7,0.0003,10,0.99,100,0.2,-596.3124389648438
8,0.0003,10,0.99,100,0.2,-574.9795532226562
9,0.0003,10,0.99,100,0.2,-574.4649047851562
0,0.0003,10,0.99,100,0.4,-203.77476501464844
1,0.0003,10,0.99,100,0.4,-403.5252380371094
2,0.0003,10,0.99,100,0.4,-472.27032470703125
3,0.0003,10,0.99,100,0.4,-402.591796875
4,0.0003,10,0.99,100,0.4,-523.6517333984375
5,0.0003,10,0.99,100,0.4,-569.46630859375
6,0.0003,10,0.99,100,0.4,-580.4375610351562
7,0.0003,10,0.99,100,0.4,-596.3049926757812
8,0.0003,10,0.99,100,0.4,-574.9735107421875
9,0.0003,10,0.99,100,0.4,-574.4588012695312
0,0.0003,10,0.99,100,0.6,-203.77476501464844
1,0.0003,10,0.99,100,0.6,-403.8236999511719
2,0.0003,10,0.99,100,0.6,-471.7076110839844
3,0.0003,10,0.99,100,0.6,-406.86968994140625
4,0.0003,10,0.99,100,0.6,-523.48486328125
5,0.0003,10,0.99,100,0.6,-569.44775390625
6,0.0003,10,0.99,100,0.6,-580.4306640625
7,0.0003,10,0.99,100,0.6,-596.2999877929688
8,0.0003,10,0.99,100,0.6,-574.97021484375
9,0.0003,10,0.99,100,0.6,-574.4559326171875
0,0.0003,10,0.99,100,0.8,-203.77476501464844
1,0.0003,10,0.99,100,0.8,-403.8231506347656
2,0.0003,10,0.99,100,0.8,-471.44403076171875
3,0.0003,10,0.99,100,0.8,-406.6042785644531
4,0.0003,10,0.99,100,0.8,-523.40478515625
5,0.0003,10,0.99,100,0.8,-569.4407348632812
6,0.0003,10,0.99,100,0.8,-580.4263916015625
7,0.0003,10,0.99,100,0.8,-596.2966918945312
8,0.0003,10,0.99,100,0.8,-574.9671630859375
9,0.0003,10,0.99,100,0.8,-574.453857421875
0,0.0003,10,0.99,100,1.0,-203.77476501464844
1,0.0003,10,0.99,100,1.0,-403.57025146484375
2,0.0003,10,0.99,100,1.0,-471.55816650390625
3,0.0003,10,0.99,100,1.0,-416.6841735839844
4,0.0003,10,0.99,100,1.0,-523.2658081054688
5,0.0003,10,0.99,100,1.0,-569.44091796875
6,0.0003,10,0.99,100,1.0,-580.4278564453125
7,0.0003,10,0.99,100,1.0,-596.2982177734375
8,0.0003,10,0.99,100,1.0,-574.9679565429688
9,0.0003,10,0.99,100,1.0,-574.4556884765625
0,0.0003,10,0.99,100,1.2,-203.77476501464844
1,0.0003,10,0.99,100,1.2,-403.1285705566406
2,0.0003,10,0.99,100,1.2,-471.30108642578125
3,0.0003,10,0.99,100,1.2,-390.3180236816406
4,0.0003,10,0.99,100,1.2,-523.2832641601562
5,0.0003,10,0.99,100,1.2,-569.4237060546875
6,0.0003,10,0.99,100,1.2,-580.4176025390625
7,0.0003,10,0.99,100,1.2,-596.2904052734375
8,0.0003,10,0.99,100,1.2,-574.9630126953125
9,0.0003,10,0.99,100,1.2,-574.4491577148438
